PRN,Timestamp,X_km,Y_km,Z_km
PG02,2026-04-01 00:45:0.00000000,-17952.589302,18795.215926,4059.184704
PG03,2026-04-01 00:45:0.00000000,-6895.754609,13197.541923,-22177.749011
PG04,2026-04-01 00:45:0.00000000,-2328.178121,23319.691935,-12300.281816
PG05,2026-04-01 00:45:0.00000000,21325.739373,-6117.661462,14461.294799
PG06,2026-04-01 00:45:0.00000000,15759.307884,3684.752213,-21030.828058
PG07,2026-04-01 00:45:0.00000000,1081.002659,18944.623065,19041.279585
PG08,2026-04-01 00:45:0.00000000,-9930.158307,14354.552782,19690.828763
PG09,2026-04-01 00:45:0.00000000,6404.412879,25536.431098,-3290.962542
PG10,2026-04-01 00:45:0.00000000,-22590.425054,-11312.764655,8994.177447
PG11,2026-04-01 00:45:0.00000000,21459.749097,-8989.581653,-12689.610894
PG12,2026-04-01 00:45:0.00000000,10932.740761,-12244.310449,-21172.359986
PG13,2026-04-01 00:45:0.00000000,13664.742462,-6634.02741,21486.450495
PG14,2026-04-01 00:45:0.00000000,20528.019826,13101.98627,11046.871073
PG15,2026-04-01 00:45:0.00000000,7269.564022,-16237.387206,19162.728714
PG16,2026-04-01 00:45:0.00000000,-24422.669273,98.936833,10557.964709
PG17,2026-04-01 00:45:0.00000000,12873.287353,20297.171032,-10632.083388
PG18,2026-04-01 00:45:0.00000000,-2156.33403,-17421.481224,19897.464876
PG19,2026-04-01 00:45:0.00000000,15471.67179,12556.033022,-17886.567922
PG20,2026-04-01 00:45:0.00000000,12834.503443,-9020.905456,21504.756367
PG21,2026-04-01 00:45:0.00000000,25537.804994,963.03524,7318.095441
PG22,2026-04-01 00:45:0.00000000,23153.813204,11504.33514,5616.138805
PG23,2026-04-01 00:45:0.00000000,-12078.458681,-14896.931968,18569.744855
PG24,2026-04-01 00:45:0.00000000,14342.107445,-22068.935906,-1978.833016
PG25,2026-04-01 00:45:0.00000000,-3912.994906,-16215.158817,-21103.108283
PG26,2026-04-01 00:45:0.00000000,-26452.311029,-4073.001432,-1231.804673
PG27,2026-04-01 00:45:0.00000000,-15068.069588,2861.903674,21340.505722
PG28,2026-04-01 00:45:0.00000000,-16084.336289,-3617.404563,-20822.778469
PG29,2026-04-01 00:45:0.00000000,-3079.972446,-25956.368652,-4270.448998
PG30,2026-04-01 00:45:0.00000000,11513.223401,10878.170523,21518.885784
PG31,2026-04-01 00:45:0.00000000,-20866.558047,5369.146588,-16012.773067
PG32,2026-04-01 00:45:0.00000000,-15320.871172,-16824.571567,-13573.09758
PG01,2026-04-01 01:00:0.00000000,-14272.121527,21523.80032,-6026.509056
PG02,2026-04-01 01:00:0.00000000,-17836.468887,18152.247038,6860.449439
PG03,2026-04-01 01:00:0.00000000,-9295.177023,12675.848204,-21583.317869
PG04,2026-04-01 01:00:0.00000000,-2968.98986,21898.966034,-14574.117527
PG05,2026-04-01 01:00:0.00000000,22832.688783,-5743.545576,12161.727117
PG06,2026-04-01 01:00:0.00000000,14145.418426,5530.372593,-21745.693551
PG07,2026-04-01 01:00:0.00000000,-338.257757,20354.28477,17464.038867
