prediction_horizon_hours,inclination_deg,eccentricity,mean_motion_rev_day,bstar,mean_motion_derivative,NORAD_CAT_ID,reliability_label,reliability
11.66988024,11.2386,0.00980961,1.00275457,0.0,9.9e-07,27168,1,Reliable
12.28061376,11.2393,0.00980787,1.00275631,0.0,9.8e-07,27168,1,Reliable
23.95322112,11.2399,0.00980589,1.00275774,0.0,9.6e-07,27168,1,Reliable
10.2692136,11.2412,0.0098054,1.00276117,0.0,9.2e-07,27168,1,Reliable
1.70526384,11.2418,0.0098059,1.00276281,0.0,9.1e-07,27168,1,Reliable
11.977150559999998,11.2419,0.0098059,1.00276315,0.0,9.1e-07,27168,1,Reliable
15.4521876,11.2426,0.00980631,1.00276486,0.0,8.9e-07,27168,1,Reliable
8.50011216,11.2434,0.0098083,1.0027678,0.0,8.7e-07,27168,1,Reliable
11.97474336,11.2439,0.0098088,1.00276904,0.0,8.6e-07,27168,1,Reliable
27.98215512,11.2445,0.0098102,1.00277144,0.0,8.5e-07,27168,1,Reliable
7.944597119999999,11.246,0.0098137,1.00277716,0.0,8.3e-07,27168,1,Reliable
10.26854376,11.2465,0.0098134,1.00277872,0.0,8.3e-07,27168,1,Reliable
13.68164544,11.2471,0.00981478,1.00278088,0.0,8.3e-07,27168,0,Not Reliable
11.97412776,11.2477,0.0098926,1.00266316,0.0,8.2e-07,27168,1,Reliable
11.97682056,11.2483,0.00989375,1.00266676,0.0,8.2e-07,27168,1,Reliable
10.26839688,11.2489,0.00989567,1.00266986,0.0,8.3e-07,27168,1,Reliable
1.70471136,11.2495,0.00990036,1.00267234,0.0,8.3e-07,27168,1,Reliable
11.976868800000002,11.2495,0.00990042,1.00267283,0.0,8.3e-07,27168,1,Reliable
10.2681336,11.2502,0.00990097,1.00267611,0.0,8.4e-07,27168,1,Reliable
1.7056068,11.2507,0.00990243,1.00267841,0.0,8.5e-07,27168,1,Reliable
11.97591264,11.2508,0.00990241,1.00267886,0.0,8.5e-07,27168,1,Reliable
14.594006640000002,11.2514,0.0099016,1.00268211,0.0,8.6e-07,27168,1,Reliable
7.64715192,11.2521,0.00990255,1.00268536,0.0,8.8e-07,27168,1,Reliable
0.44684112,11.2525,0.0099023,1.00268754,0.0,8.8e-07,27168,1,Reliable
37.187725920000005,11.2527,0.00990072,1.00268783,0.0,8.8e-07,27168,1,Reliable
22.24459056,11.2545,0.00989717,1.0026961,0.0,9.1e-07,27168,1,Reliable
1.7056075199999998,11.2555,0.00989289,1.0027009,0.0,9.2e-07,27168,1,Reliable
10.26572256,11.2556,0.00989271,1.00270124,0.0,9.2e-07,27168,1,Reliable
11.97930984,11.2561,0.00989013,1.00270342,0.0,9.3e-07,27168,1,Reliable
8.0456328,11.2567,0.00988674,1.00270574,0.0,9.4e-07,27168,1,Reliable
5.63700168,11.2571,0.00988497,1.00270724,0.0,9.4e-07,27168,1,Reliable
23.95013448,11.2573,0.00988329,1.00270848,0.0,9.4e-07,27168,1,Reliable
11.97281928,11.2585,0.0098758,1.00271282,0.0,9.5e-07,27168,1,Reliable
11.97673344,11.259,0.00987124,1.0027148,0.0,9.6e-07,27168,1,Reliable
12.38354256,11.2595,0.00986782,1.0027169,0.0,9.6e-07,27168,1,Reliable
11.5678488,11.2601,0.00986204,1.00271882,0.0,9.7e-07,27168,1,Reliable
18.715908,11.2607,0.00985839,1.00272071,0.0,9.7e-07,27168,1,Reliable
5.23519344,11.2615,0.00985024,1.00272337,0.0,9.8e-07,27168,1,Reliable
11.973501359999998,11.2618,0.00984839,1.00272423,0.0,9.8e-07,27168,1,Reliable
11.976966,11.2623,0.00984226,1.0027259,0.0,9.9e-07,27168,1,Reliable
10.26492528,11.2629,0.00983866,1.00272758,0.0,1e-06,27168,1,Reliable
11.97482664,11.2634,0.0098337,1.00272907,0.0,1e-06,27168,1,Reliable
13.68293136,11.264,0.00982926,1.00273056,0.0,1.01e-06,27168,1,Reliable
7.131366239999999,11.2646,0.0098232,1.00273243,0.0,1.01e-06,27168,1,Reliable
4.846565999999999,11.265,0.00982003,1.00273318,0.0,1.02e-06,27168,1,Reliable
10.26808752,11.2652,0.0098186,1.00273388,0.0,1.02e-06,27168,1,Reliable
1.70620104,11.2658,0.00981451,1.00273528,0.0,1.02e-06,27168,1,Reliable
11.97602088,11.2658,0.00981354,1.00273548,0.0,1.02e-06,27168,1,Reliable
10.26748608,11.2664,0.00980951,1.00273681,0.0,1.03e-06,27168,1,Reliable
5.43993504,11.267,0.00980609,1.00273822,0.0,1.03e-06,27168,1,Reliable
8.24393424,11.2672,0.00980367,1.00273873,0.0,1.03e-06,27168,1,Reliable
10.2670968,11.2677,0.009801,1.00273966,0.0,1.03e-06,27168,1,Reliable
1.70560728,11.2682,0.00979834,1.00274114,0.0,1.03e-06,27168,1,Reliable
11.9774904,11.2683,0.00979778,1.00274131,0.0,1.03e-06,27168,1,Reliable
10.26688656,11.2689,0.00979395,1.00274254,0.0,1.03e-06,27168,1,Reliable
1.70560728,11.2695,0.00979197,1.00274402,0.0,1.03e-06,27168,1,Reliable
11.97821808,11.2696,0.00979148,1.00274422,0.0,1.03e-06,27168,1,Reliable
10.26692424,11.2702,0.00978795,1.00274547,0.0,1.02e-06,27168,1,Reliable
1.7060455200000002,11.2708,0.00978653,1.00274693,0.0,1.01e-06,27168,1,Reliable
11.97664968,11.2709,0.00978606,1.00274717,0.0,1.01e-06,27168,1,Reliable
10.26703824,11.2716,0.00978371,1.00274846,0.0,1e-06,27168,1,Reliable
13.6844568,11.2721,0.0097832,1.00274992,0.0,9.9e-07,27168,1,Reliable
10.26634008,11.2729,0.00978108,1.00275158,0.0,9.7e-07,27168,1,Reliable
3.80377728,11.2735,0.00978078,1.00275313,0.0,9.6e-07,27168,1,Reliable
9.87949776,11.2737,0.009781,1.00275375,0.0,9.5e-07,27168,1,Reliable
11.973504,11.2742,0.00977988,1.00275491,0.0,9.4e-07,27168,1,Reliable
11.97747432,11.2749,0.0097807,1.00275692,0.0,9.2e-07,27168,1,Reliable
11.972136,11.2755,0.00978085,1.00275855,0.0,9.1e-07,27168,1,Reliable
11.97837168,11.2762,0.00978246,1.00276072,0.0,8.9e-07,27168,1,Reliable
11.97333744,11.2768,0.00978348,1.00276254,0.0,8.8e-07,27168,1,Reliable
2.06934384,11.2775,0.00978551,1.00276487,0.0,8.6e-07,27168,1,Reliable
