ID,Name,Type,TLE Line 1,TLE Line 2,Epoch
49310,ONEWEB-0384,Satellite,1 49310U 21090AH  26248.73668391  .00000103  00000+0  22004-3 0  9998,2 49310  87.9132 258.4124 0002382 100.3014 259.8388 13.20818001240462,2026-09-05 17:40:49 UTC
55926,STARLINK-5921,Satellite,1 55926U 23037N   26249.11806779 -.00000093  00000+0  32778-7 0  9990,2 55926  69.9996 189.6522 0003199 270.2871  89.7922 14.98328741191004,2026-09-06 02:50:01 UTC
67090,STARLINK-36060,Satellite,1 67090U 25298R   26249.05044185  .00002396  00000+0  20853-3 0  9998,2 67090  69.9992 279.7033 0003465 271.6902  88.3860 14.98330361 40234,2026-09-06 01:12:38 UTC
69127,STARLINK-37706,Satellite,1 69127U 26110D   26248.50015051  .00020291  00000+0  62931-3 0  9991,2 69127  97.2853  83.7174 0001588  75.4014 284.7405 15.33436759 17918,2026-09-05 12:00:13 UTC
37948,BEIDOU-2 IGSO-5,Satellite,1 37948U 11073A   26249.04007610 -.00000109  00000+0  00000+0 0  9993,2 37948  47.5355 270.5334 0116797 223.9363 320.7580  1.00279897 53944,2026-09-06 00:57:42 UTC
67292,SITRO-AIS-64,Satellite,1 67292U 25313AW  26248.16605120  .00005765  00000+0  22480-3 0  9994,2 67292  97.3871 322.2991 0010209  77.2699 282.9680 15.26285337 38179,2026-09-05 03:59:06 UTC
51747,STARLINK-3446,Satellite,1 51747U 22016AK  26248.90525294 -.00000558  00000+0 -62249-5 0  9990,2 51747  53.1593 218.7730 0001287  78.9571 281.1575 15.31697766250923,2026-09-05 21:43:33 UTC
30985,FENGYUN 1C DEB,Debris,1 30985U 99025BCB 26232.07522500  .00005399  00000+0  18640-2 0  9992,2 30985  99.2238 170.3789 0044736   6.6391  57.5165 14.35702475651564,2026-08-20 01:48:19 UTC
29914,FENGYUN 1C DEB,Debris,1 29914U 99025HL  26248.91210829 -.00000156  00000+0 -72308-4 0  9991,2 29914  98.8194 274.6036 0036761  89.7754  30.5208 14.03233841  5324,2026-09-05 21:53:26 UTC
32230,FENGYUN 1C DEB,Debris,1 32230U 99025CWC 26247.45373036  .00004575  00000+0  90406-3 0  9999,2 32230  98.8890  60.5726 0046344 356.0549  32.1079 14.62263033645460,2026-09-04 10:53:22 UTC
